name,attacker_king,defender_king,attacker_outcome,major_death,attacker_commander,defender_commander,region,attacker_size,defender_size
Battle of the Golden Tooth,Joffrey/Tommen Baratheon,Robb Stark,win,1,Jaime Lannister,"Clement Piper, Vance",The Westerlands,15000,4000
Battle at the Mummer's Ford,Joffrey/Tommen Baratheon,Robb Stark,win,1,Gregor Clegane,Beric Dondarrion,The Riverlands,,120
Battle of Riverrun,Joffrey/Tommen Baratheon,Robb Stark,win,0,"Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood",The Riverlands,15000,10000
Battle of the Green Fork,Robb Stark,Joffrey/Tommen Baratheon,loss,1,"Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand",The Riverlands,18000,20000
Battle of the Whispering Wood,Robb Stark,Joffrey/Tommen Baratheon,win,1,"Robb Stark, Brynden Tully",Jaime Lannister,The Riverlands,1875,6000
Battle of the Camps,Robb Stark,Joffrey/Tommen Baratheon,win,0,"Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester",The Riverlands,6000,12625
Sack of Darry,Joffrey/Tommen Baratheon,Robb Stark,win,0,Gregor Clegane,Lyman Darry,The Riverlands,,
Battle of Moat Cailin,Balon/Euron Greyjoy,Robb Stark,win,0,Victarion Greyjoy,,The North,,
Battle of Deepwood Motte,Balon/Euron Greyjoy,Robb Stark,win,0,Asha Greyjoy,,The North,1000,
Battle of the Stony Shore,Balon/Euron Greyjoy,Robb Stark,win,0,Theon Greyjoy,,The North,264,
Battle of Torrhen's Square,Robb Stark,Balon/Euron Greyjoy,win,0,"Rodrik Cassel, Cley Cerwyn",Dagmer Cleftjaw,The North,244,900
Battle of Winterfell,Balon/Euron Greyjoy,Robb Stark,win,0,Theon Greyjoy,Bran Stark,The North,20,
Sack of Torrhen's Square,Balon/Euron Greyjoy,Balon/Euron Greyjoy,win,0,Dagmer Cleftjaw,,The North,,
Sack of Winterfell,Joffrey/Tommen Baratheon,Robb Stark,win,1,"Ramsay Snow, Theon Greyjoy ","Rodrik Cassel, Cley Cerwyn, Leobald Tallhart",The North,618,2000
